Usuarios 1 e 2, Tipo: Cosseno, Taxa de Similaridade: 0.4026060938931021
Usuarios 1 e 36, Tipo: Cosseno, Taxa de Similaridade: 0.5840454116436188
Usuarios 1 e 37, Tipo: Cosseno, Taxa de Similaridade: 0.6249879578308982
Usuarios 1 e 38, Tipo: Cosseno, Taxa de Similaridade: 0.7391362947230982
Usuarios 1 e 39, Tipo: Cosseno, Taxa de Similaridade: 0.5007111842007816
Usuarios 1 e 40, Tipo: Cosseno, Taxa de Similaridade: 0.5754484940369716
Usuarios 1 e 41, Tipo: Cosseno, Taxa de Similaridade: 0.4860526282134079
Usuarios 1 e 42, Tipo: Cosseno, Taxa de Similaridade: 0.641186037338511
Usuarios 1 e 43, Tipo: Cosseno, Taxa de Similaridade: 0.08092430242990156
Usuarios 1 e 44, Tipo: Cosseno, Taxa de Similaridade: 0.4875201034078929
Usuarios 1 e 45, Tipo: Cosseno, Taxa de Similaridade: 0.4459439342862868
Usuarios 1 e 46, Tipo: Cosseno, Taxa de Similaridade: 0.4785516250759194
Usuarios 1 e 47, Tipo: Cosseno, Taxa de Similaridade: 0.5659781436618831
Usuarios 1 e 48, Tipo: Cosseno, Taxa de Similaridade: 0.6541300566338759
Usuarios 1 e 49, Tipo: Cosseno, Taxa de Similaridade: 0.7898563312123469
Usuarios 1 e 50, Tipo: Cosseno, Taxa de Similaridade: 0.13465311130900773
Usuarios 1 e 51, Tipo: Cosseno, Taxa de Similaridade: 0.6094503276270964
Usuarios 1 e 52, Tipo: Cosseno, Taxa de Similaridade: 0.45214373258283175
Usuarios 1 e 53, Tipo: Cosseno, Taxa de Similaridade: 0.5773621144873524
Usuarios 1 e 54, Tipo: Cosseno, Taxa de Similaridade: 0.32500072359771204
Usuarios 1 e 55, Tipo: Cosseno, Taxa de Similaridade: 0.31410684825467594
Usuarios 1 e 56, Tipo: Cosseno, Taxa de Similaridade: 0.3588919370294205
Usuarios 1 e 57, Tipo: Cosseno, Taxa de Similaridade: 0.0
Usuarios 1 e 58, Tipo: Cosseno, Taxa de Similaridade: 0.4546162636831941
Usuarios 1 e 59, Tipo: Cosseno, Taxa de Similaridade: 0.10321710652931347
Usuarios 1 e 60, Tipo: Cosseno, Taxa de Similaridade: 0.5652065852528068
Usuarios 1 e 61, Tipo: Cosseno, Taxa de Similaridade: 0.4395849467517018
Usuarios 1 e 62, Tipo: Cosseno, Taxa de Similaridade: 0.47438438405994
Usuarios 1 e 63, Tipo: Cosseno, Taxa de Similaridade: 0.5546840513689354
Usuarios 1 e 64, Tipo: Cosseno, Taxa de Similaridade: 0.36896203959160373
Usuarios 1 e 65, Tipo: Cosseno, Taxa de Similaridade: 0.4315590882089153
Usuarios 1 e 66, Tipo: Cosseno, Taxa de Similaridade: 0.2437591668714737
Usuarios 1 e 67, Tipo: Cosseno, Taxa de Similaridade: 0.4736353117470641
Usuarios 1 e 68, Tipo: Cosseno, Taxa de Similaridade: 0.26621020688090424
Usuarios 1 e 69, Tipo: Cosseno, Taxa de Similaridade: 0.5124809419192294
Usuarios 1 e 70, Tipo: Cosseno, Taxa de Similaridade: 0.2675830014724341
Usuarios 1 e 71, Tipo: Cosseno, Taxa de Similaridade: 0.5910642544683097
Usuarios 1 e 72, Tipo: Cosseno, Taxa de Similaridade: 0.022227456778103585
Usuarios 1 e 73, Tipo: Cosseno, Taxa de Similaridade: 0.4422767824575571
Usuarios 1 e 74, Tipo: Cosseno, Taxa de Similaridade: 0.4649407173022766
Usuarios 1 e 75, Tipo: Cosseno, Taxa de Similaridade: 0.7057882714240772
Usuarios 1 e 76, Tipo: Cosseno, Taxa de Similaridade: 0.5772007568527597
Usuarios 1 e 77, Tipo: Cosseno, Taxa de Similaridade: 0.6808287157745119
Usuarios 1 e 78, Tipo: Cosseno, Taxa de Similaridade: 0.5725179308269788
Usuarios 1 e 79, Tipo: Cosseno, Taxa de Similaridade: 0.5941170772938912
Usuarios 1 e 80, Tipo: Cosseno, Taxa de Similaridade: 0.5834516511087847
Usuarios 1 e 81, Tipo: Cosseno, Taxa de Similaridade: 0.42258787442557355
Usuarios 1 e 82, Tipo: Cosseno, Taxa de Similaridade: 0.41065816676357986
Usuarios 1 e 83, Tipo: Cosseno, Taxa de Similaridade: 0.6327529644697254
Usuarios 1 e 84, Tipo: Cosseno, Taxa de Similaridade: 0.5318456653136298
Usuarios 1 e 85, Tipo: Cosseno, Taxa de Similaridade: 0.49068008518455936
Usuarios 1 e 86, Tipo: Cosseno, Taxa de Similaridade: 0.46271279966701073
Usuarios 1 e 87, Tipo: Cosseno, Taxa de Similaridade: 0.30484579350840846
Usuarios 1 e 88, Tipo: Cosseno, Taxa de Similaridade: 0.6328318730973553
Usuarios 1 e 89, Tipo: Cosseno, Taxa de Similaridade: 0.5109026798448401
Usuarios 1 e 90, Tipo: Cosseno, Taxa de Similaridade: 0.2667038425694756
Usuarios 1 e 91, Tipo: Cosseno, Taxa de Similaridade: 0.45275893882906426
Usuarios 1 e 92, Tipo: Cosseno, Taxa de Similaridade: 0.3530885051394572
Usuarios 1 e 93, Tipo: Cosseno, Taxa de Similaridade: 0.8658894137602363
Usuarios 1 e 94, Tipo: Cosseno, Taxa de Similaridade: 0.7789034280728401
Usuarios 1 e 95, Tipo: Cosseno, Taxa de Similaridade: 0.0
Usuarios 1 e 96, Tipo: Cosseno, Taxa de Similaridade: -1
Usuarios 1 e 97, Tipo: Cosseno, Taxa de Similaridade: 0.5291215633462807
Usuarios 1 e 98, Tipo: Cosseno, Taxa de Similaridade: 0.24449254136449722
Usuarios 1 e 99, Tipo: Cosseno, Taxa de Similaridade: 0.45082675669525324
Usuarios 1 e 100, Tipo: Cosseno, Taxa de Similaridade: 0.5637424721001955
Usuarios 1 e 101, Tipo: Cosseno, Taxa de Similaridade: 0.3008102890176384
Usuarios 1 e 102, Tipo: Cosseno, Taxa de Similaridade: 0.34899069134894223
Usuarios 1 e 103, Tipo: Cosseno, Taxa de Similaridade: 0.13478997984583957
Usuarios 1 e 104, Tipo: Cosseno, Taxa de Similaridade: 0.27216459770323337
Usuarios 1 e 105, Tipo: Cosseno, Taxa de Similaridade: 0.4448740189919815
Usuarios 1 e 106, Tipo: Cosseno, Taxa de Similaridade: 0.7215850410424388
Usuarios 1 e 107, Tipo: Cosseno, Taxa de Similaridade: 0.5895508077479513
Usuarios 1 e 108, Tipo: Cosseno, Taxa de Similaridade: 0.4674273376070391
Usuarios 1 e 109, Tipo: Cosseno, Taxa de Similaridade: 0.30018863168645593
Usuarios 1 e 110, Tipo: Cosseno, Taxa de Similaridade: 0.3294591691546986
Usuarios 1 e 111, Tipo: Cosseno, Taxa de Similaridade: 0.19981339505960058
Usuarios 1 e 112, Tipo: Cosseno, Taxa de Similaridade: 0.5902632248709486
Usuarios 1 e 113, Tipo: Cosseno, Taxa de Similaridade: 0.4130146150184866
Usuarios 1 e 114, Tipo: Cosseno, Taxa de Similaridade: 0.49920310579100785
Usuarios 1 e 115, Tipo: Cosseno, Taxa de Similaridade: 0.3207753264378779
Usuarios 1 e 116, Tipo: Cosseno, Taxa de Similaridade: 0.7314310382173911
Usuarios 1 e 117, Tipo: Cosseno, Taxa de Similaridade: 0.3365447353107915
Usuarios 1 e 118, Tipo: Cosseno, Taxa de Similaridade: 0.39109270575293476
Usuarios 1 e 119, Tipo: Cosseno, Taxa de Similaridade: 0.46899288817856666
Usuarios 1 e 120, Tipo: Cosseno, Taxa de Similaridade: 0.6365660339252648
Usuarios 1 e 121, Tipo: Cosseno, Taxa de Similaridade: 0.2955645285004649
Usuarios 1 e 122, Tipo: Cosseno, Taxa de Similaridade: 0.27106765029020136
Usuarios 1 e 123, Tipo: Cosseno, Taxa de Similaridade: 0.35071188359138933
Usuarios 1 e 124, Tipo: Cosseno, Taxa de Similaridade: 0.28679019862183536
Usuarios 1 e 125, Tipo: Cosseno, Taxa de Similaridade: 0.2629446412249873
Usuarios 1 e 126, Tipo: Cosseno, Taxa de Similaridade: 0.48443914090996926
Usuarios 1 e 127, Tipo: Cosseno, Taxa de Similaridade: 0.478641424863218
Usuarios 1 e 128, Tipo: Cosseno, Taxa de Similaridade: 0.20615607202342326
Usuarios 1 e 129, Tipo: Cosseno, Taxa de Similaridade: 0.5515215969893048
Usuarios 1 e 130, Tipo: Cosseno, Taxa de Similaridade: 0.3861570261656778
Usuarios 1 e 131, Tipo: Cosseno, Taxa de Similaridade: 0.662585715790258
Usuarios 1 e 132, Tipo: Cosseno, Taxa de Similaridade: 0.6717911691051118
Usuarios 1 e 133, Tipo: Cosseno, Taxa de Similaridade: 0.5001172468789058
Usuarios 1 e 134, Tipo: Cosseno, Taxa de Similaridade: 0.11307502243654662
Usuarios 1 e 135, Tipo: Cosseno, Taxa de Similaridade: 0.5384832386824414
Usuarios 1 e 136, Tipo: Cosseno, Taxa de Similaridade: 0.6119423078259082
Usuarios 1 e 137, Tipo: Cosseno, Taxa de Similaridade: 0.10096379778801555
Usuarios 1 e 138, Tipo: Cosseno, Taxa de Similaridade: 0.20257068269177592
Usuarios 1 e 139, Tipo: Cosseno, Taxa de Similaridade: 0.6709136182486356
Usuarios 1 e 140, Tipo: Cosseno, Taxa de Similaridade: 0.37862464810032936
Usuarios 1 e 141, Tipo: Cosseno, Taxa de Similaridade: 0.3938306127663736
Usuarios 1 e 142, Tipo: Cosseno, Taxa de Similaridade: 0.43330763839552355
Usuarios 1 e 143, Tipo: Cosseno, Taxa de Similaridade: 0.6921532522485522
Usuarios 1 e 144, Tipo: Cosseno, Taxa de Similaridade: 0.6732492618991959
Usuarios 1 e 145, Tipo: Cosseno, Taxa de Similaridade: 0.5287305850433003
Usuarios 1 e 146, Tipo: Cosseno, Taxa de Similaridade: 0.42767028644532346
Usuarios 1 e 147, Tipo: Cosseno, Taxa de Similaridade: 0.38993061633811704
Usuarios 1 e 148, Tipo: Cosseno, Taxa de Similaridade: 0.5106804105240214
Usuarios 1 e 149, Tipo: Cosseno, Taxa de Similaridade: 0.8459786658524178
Usuarios 1 e 150, Tipo: Cosseno, Taxa de Similaridade: 0.4687425641187676
Usuarios 1 e 151, Tipo: Cosseno, Taxa de Similaridade: 0.40044840531608383
Usuarios 1 e 152, Tipo: Cosseno, Taxa de Similaridade: 0.057341143836281215
Usuarios 1 e 153, Tipo: Cosseno, Taxa de Similaridade: 0.7738364959090673
Usuarios 1 e 154, Tipo: Cosseno, Taxa de Similaridade: 0.48889177634694075
Usuarios 1 e 155, Tipo: Cosseno, Taxa de Similaridade: 0.524513159637089
Usuarios 1 e 156, Tipo: Cosseno, Taxa de Similaridade: 0.2161988557465646
Usuarios 1 e 157, Tipo: Cosseno, Taxa de Similaridade: 0.49577807362003873
Usuarios 1 e 158, Tipo: Cosseno, Taxa de Similaridade: 0.3376093003301805
Usuarios 1 e 159, Tipo: Cosseno, Taxa de Similaridade: 0.6095274094715105
Usuarios 1 e 160, Tipo: Cosseno, Taxa de Similaridade: 0.12178828265135222
Usuarios 1 e 161, Tipo: Cosseno, Taxa de Similaridade: 0.6675131900714468
Usuarios 1 e 162, Tipo: Cosseno, Taxa de Similaridade: 0.3883053230794691
Usuarios 1 e 163, Tipo: Cosseno, Taxa de Similaridade: 0.3468193962208416
Usuarios 1 e 164, Tipo: Cosseno, Taxa de Similaridade: 0.45249170536649713
Usuarios 1 e 165, Tipo: Cosseno, Taxa de Similaridade: 0.783602129290023
Usuarios 1 e 166, Tipo: Cosseno, Taxa de Similaridade: 0.19530331602473563
Usuarios 1 e 167, Tipo: Cosseno, Taxa de Similaridade: 0.26196537659854796
Usuarios 1 e 168, Tipo: Cosseno, Taxa de Similaridade: 0.7411155914976414
Usuarios 1 e 169, Tipo: Cosseno, Taxa de Similaridade: 0.34881783093971097
Usuarios 1 e 170, Tipo: Cosseno, Taxa de Similaridade: 0.1225068887536446
Usuarios 1 e 171, Tipo: Cosseno, Taxa de Similaridade: 0.1911338133718177
Usuarios 1 e 172, Tipo: Cosseno, Taxa de Similaridade: 0.6718671364268909
Usuarios 1 e 173, Tipo: Cosseno, Taxa de Similaridade: 0.6335645275807814
Usuarios 1 e 174, Tipo: Cosseno, Taxa de Similaridade: -1
Usuarios 1 e 175, Tipo: Cosseno, Taxa de Similaridade: 0.4933078697645216
Usuarios 1 e 176, Tipo: Cosseno, Taxa de Similaridade: 0.17657753577467336
Usuarios 1 e 177, Tipo: Cosseno, Taxa de Similaridade: 0.3039798723412918
Usuarios 1 e 178, Tipo: Cosseno, Taxa de Similaridade: 0.34619204234586315
Usuarios 1 e 179, Tipo: Cosseno, Taxa de Similaridade: 0.22399601788396722
Usuarios 1 e 180, Tipo: Cosseno, Taxa de Similaridade: 0.5727339248729301
Usuarios 1 e 181, Tipo: Cosseno, Taxa de Similaridade: 0.5285514982810352
Usuarios 1 e 182, Tipo: Cosseno, Taxa de Similaridade: 0.2945659046954037
Usuarios 1 e 183, Tipo: Cosseno, Taxa de Similaridade: 0.1535231828183608
Usuarios 1 e 184, Tipo: Cosseno, Taxa de Similaridade: 0.5787047431417006
Usuarios 1 e 185, Tipo: Cosseno, Taxa de Similaridade: 0.018007881329509298
Usuarios 1 e 186, Tipo: Cosseno, Taxa de Similaridade: 0.38509447363171506
Usuarios 1 e 187, Tipo: Cosseno, Taxa de Similaridade: 0.5233460127900473
Usuarios 1 e 188, Tipo: Cosseno, Taxa de Similaridade: 0.31079950291237624
Usuarios 1 e 189, Tipo: Cosseno, Taxa de Similaridade: 0.7248474979449133
Usuarios 1 e 190, Tipo: Cosseno, Taxa de Similaridade: 0.7425949261392498
Usuarios 1 e 191, Tipo: Cosseno, Taxa de Similaridade: 0.4431305275500474
Usuarios 1 e 192, Tipo: Cosseno, Taxa de Similaridade: 0.298673973082115
Usuarios 1 e 193, Tipo: Cosseno, Taxa de Similaridade: 0.4972761617431701
Usuarios 1 e 194, Tipo: Cosseno, Taxa de Similaridade: 0.7049812529275652
Usuarios 1 e 195, Tipo: Cosseno, Taxa de Similaridade: 0.20035327682054535
Usuarios 1 e 196, Tipo: Cosseno, Taxa de Similaridade: 0.013570293630556495
Usuarios 1 e 197, Tipo: Cosseno, Taxa de Similaridade: 0.485957663099385
Usuarios 1 e 198, Tipo: Cosseno, Taxa de Similaridade: 0.210278884323751
Usuarios 1 e 199, Tipo: Cosseno, Taxa de Similaridade: 0.6693950625233241
Usuarios 1 e 200, Tipo: Cosseno, Taxa de Similaridade: 0.16925610801409421
Usuarios 1 e 201, Tipo: Cosseno, Taxa de Similaridade: 0.2414006260868578
Usuarios 1 e 202, Tipo: Cosseno, Taxa de Similaridade: 0.7167935965020522
Usuarios 1 e 203, Tipo: Cosseno, Taxa de Similaridade: 0.41800144529049754
Usuarios 1 e 204, Tipo: Cosseno, Taxa de Similaridade: 0.8296316475594324
Usuarios 1 e 205, Tipo: Cosseno, Taxa de Similaridade: 0.23101348419402212
Usuarios 1 e 206, Tipo: Cosseno, Taxa de Similaridade: 0.6092713507422979
Usuarios 1 e 207, Tipo: Cosseno, Taxa de Similaridade: 0.14782001606157863
Usuarios 1 e 208, Tipo: Cosseno, Taxa de Similaridade: -1
Usuarios 1 e 209, Tipo: Cosseno, Taxa de Similaridade: 0.5360314497845413
Usuarios 1 e 210, Tipo: Cosseno, Taxa de Similaridade: 0.8462950057321654
Usuarios 1 e 211, Tipo: Cosseno, Taxa de Similaridade: 0.7386248007790067
Usuarios 1 e 212, Tipo: Cosseno, Taxa de Similaridade: 0.45663421592597203
Usuarios 1 e 213, Tipo: Cosseno, Taxa de Similaridade: 0.6095004548711059
Usuarios 1 e 214, Tipo: Cosseno, Taxa de Similaridade: 0.47822085023064964
Usuarios 1 e 215, Tipo: Cosseno, Taxa de Similaridade: 0.5525161556863382
Usuarios 1 e 216, Tipo: Cosseno, Taxa de Similaridade: 0.36332511115131133
Usuarios 1 e 217, Tipo: Cosseno, Taxa de Similaridade: 0.23356893512904914
Usuarios 1 e 218, Tipo: Cosseno, Taxa de Similaridade: 0.22025671810643083
Usuarios 1 e 219, Tipo: Cosseno, Taxa de Similaridade: 0.43939996852593344
Usuarios 1 e 220, Tipo: Cosseno, Taxa de Similaridade: 0.30806589200685675
Usuarios 1 e 221, Tipo: Cosseno, Taxa de Similaridade: 0.29666228950588375
Usuarios 1 e 222, Tipo: Cosseno, Taxa de Similaridade: 0.6343212417991106
Usuarios 1 e 223, Tipo: Cosseno, Taxa de Similaridade: 0.38443564726437285
Usuarios 1 e 224, Tipo: Cosseno, Taxa de Similaridade: 0.5061502884251133
Usuarios 1 e 225, Tipo: Cosseno, Taxa de Similaridade: 0.6437509495492184
Usuarios 1 e 226, Tipo: Cosseno, Taxa de Similaridade: 0.20406888508418666
Usuarios 1 e 227, Tipo: Cosseno, Taxa de Similaridade: 0.17093586049232182
Usuarios 1 e 228, Tipo: Cosseno, Taxa de Similaridade: 0.6846883377000006
Usuarios 1 e 229, Tipo: Cosseno, Taxa de Similaridade: 0.3829472094964607
Usuarios 1 e 230, Tipo: Cosseno, Taxa de Similaridade: 0.22843206549709927
Usuarios 1 e 231, Tipo: Cosseno, Taxa de Similaridade: 0.5419404877067268
Usuarios 1 e 232, Tipo: Cosseno, Taxa de Similaridade: 0.5541887627694413
Usuarios 1 e 233, Tipo: Cosseno, Taxa de Similaridade: 0.0383851177371071
Usuarios 1 e 234, Tipo: Cosseno, Taxa de Similaridade: 0.358628604686469
Usuarios 1 e 235, Tipo: Cosseno, Taxa de Similaridade: 0.3610120456558212
Usuarios 1 e 236, Tipo: Cosseno, Taxa de Similaridade: 0.5977485637042416
Usuarios 1 e 237, Tipo: Cosseno, Taxa de Similaridade: 0.5026704947504363
Usuarios 1 e 238, Tipo: Cosseno, Taxa de Similaridade: 0.7392537044346231
Usuarios 1 e 239, Tipo: Cosseno, Taxa de Similaridade: 0.19196697229722565
Usuarios 1 e 240, Tipo: Cosseno, Taxa de Similaridade: 0.5476705406899376
Usuarios 1 e 241, Tipo: Cosseno, Taxa de Similaridade: 0.5202900751236279
Usuarios 1 e 242, Tipo: Cosseno, Taxa de Similaridade: 0.6688908070981135
Usuarios 1 e 243, Tipo: Cosseno, Taxa de Similaridade: 0.6297066780889703
Usuarios 1 e 244, Tipo: Cosseno, Taxa de Similaridade: 0.007227820799447293
Usuarios 1 e 245, Tipo: Cosseno, Taxa de Similaridade: 0.6906479586718992
Usuarios 1 e 246, Tipo: Cosseno, Taxa de Similaridade: 0.48747015912677666
Usuarios 1 e 247, Tipo: Cosseno, Taxa de Similaridade: 0.46819422455333204
Usuarios 1 e 248, Tipo: Cosseno, Taxa de Similaridade: 0.4944828636461602
Usuarios 1 e 249, Tipo: Cosseno, Taxa de Similaridade: 0.41152444540338856
Usuarios 1 e 250, Tipo: Cosseno, Taxa de Similaridade: 0.31813379042251155
Usuarios 1 e 251, Tipo: Cosseno, Taxa de Similaridade: 0.6955013941755803
Usuarios 1 e 252, Tipo: Cosseno, Taxa de Similaridade: 0.3644638987507615
Usuarios 1 e 253, Tipo: Cosseno, Taxa de Similaridade: 0.566869595454334
Usuarios 1 e 254, Tipo: Cosseno, Taxa de Similaridade: 0.319354136877308
Usuarios 1 e 255, Tipo: Cosseno, Taxa de Similaridade: 0.3666461649153831
Usuarios 1 e 256, Tipo: Cosseno, Taxa de Similaridade: 0.3942286906220562
Usuarios 1 e 257, Tipo: Cosseno, Taxa de Similaridade: 0.36172365919198224
Usuarios 1 e 258, Tipo: Cosseno, Taxa de Similaridade: 0.32988161530771487
Usuarios 1 e 259, Tipo: Cosseno, Taxa de Similaridade: 0.5583661626889544
Usuarios 1 e 260, Tipo: Cosseno, Taxa de Similaridade: 0.1263094591175301
Usuarios 1 e 261, Tipo: Cosseno, Taxa de Similaridade: 0.37274952157642677
Usuarios 1 e 262, Tipo: Cosseno, Taxa de Similaridade: 0.29899478487860415
Usuarios 1 e 263, Tipo: Cosseno, Taxa de Similaridade: 0.3572559191551148
Usuarios 1 e 264, Tipo: Cosseno, Taxa de Similaridade: 0.16866750616480772
Usuarios 1 e 265, Tipo: Cosseno, Taxa de Similaridade: 0.38361923258784314
Usuarios 1 e 266, Tipo: Cosseno, Taxa de Similaridade: 0.5781634170368942
Usuarios 1 e 267, Tipo: Cosseno, Taxa de Similaridade: 0.3336885593789701
Usuarios 1 e 268, Tipo: Cosseno, Taxa de Similaridade: 0.29663833026705455
Usuarios 1 e 269, Tipo: Cosseno, Taxa de Similaridade: 0.6453275983297713
Usuarios 1 e 270, Tipo: Cosseno, Taxa de Similaridade: 0.33493615741630584
Usuarios 1 e 271, Tipo: Cosseno, Taxa de Similaridade: 0.580861840805213
Usuarios 1 e 272, Tipo: Cosseno, Taxa de Similaridade: 0.48061933134843854
Usuarios 1 e 273, Tipo: Cosseno, Taxa de Similaridade: 0.2400799902879435
Usuarios 1 e 274, Tipo: Cosseno, Taxa de Similaridade: 0.537722549218923
Usuarios 1 e 275, Tipo: Cosseno, Taxa de Similaridade: 0.26266749720968813
Usuarios 1 e 276, Tipo: Cosseno, Taxa de Similaridade: 0.38435203543457136
Usuarios 1 e 277, Tipo: Cosseno, Taxa de Similaridade: 0.2909241433477636
Usuarios 1 e 278, Tipo: Cosseno, Taxa de Similaridade: 0.45928635195889284
Usuarios 1 e 279, Tipo: Cosseno, Taxa de Similaridade: 0.21235120234922492
Usuarios 1 e 280, Tipo: Cosseno, Taxa de Similaridade: 0.5035290277270099
Usuarios 1 e 281, Tipo: Cosseno, Taxa de Similaridade: 0.3771858580351053
Usuarios 1 e 282, Tipo: Cosseno, Taxa de Similaridade: 0.2875874019024191
Usuarios 1 e 283, Tipo: Cosseno, Taxa de Similaridade: 0.2962194136419297
Usuarios 1 e 284, Tipo: Cosseno, Taxa de Similaridade: 0.7634179411261129
Usuarios 1 e 285, Tipo: Cosseno, Taxa de Similaridade: 0.2703247300920869
Usuarios 1 e 286, Tipo: Cosseno, Taxa de Similaridade: 0.2315005887683329
Usuarios 1 e 287, Tipo: Cosseno, Taxa de Similaridade: 0.6242785846544165
Usuarios 1 e 288, Tipo: Cosseno, Taxa de Similaridade: 0.6280372631377885
Usuarios 1 e 289, Tipo: Cosseno, Taxa de Similaridade: 0.5638413573883259
Usuarios 1 e 290, Tipo: Cosseno, Taxa de Similaridade: 0.2671442935240038
Usuarios 1 e 291, Tipo: Cosseno, Taxa de Similaridade: 0.5273195343288039
Usuarios 1 e 292, Tipo: Cosseno, Taxa de Similaridade: 0.5439830250666633
Usuarios 1 e 293, Tipo: Cosseno, Taxa de Similaridade: 0.5527955985447951
Usuarios 1 e 294, Tipo: Cosseno, Taxa de Similaridade: 0.45284875176121886
Usuarios 1 e 295, Tipo: Cosseno, Taxa de Similaridade: 0.08884391434038674
Usuarios 1 e 296, Tipo: Cosseno, Taxa de Similaridade: 0.653363946371477
Usuarios 1 e 297, Tipo: Cosseno, Taxa de Similaridade: 0.4873304617355557
Usuarios 1 e 298, Tipo: Cosseno, Taxa de Similaridade: 0.44875542233264654
Usuarios 1 e 299, Tipo: Cosseno, Taxa de Similaridade: 0.6505168761141016
Usuarios 1 e 300, Tipo: Cosseno, Taxa de Similaridade: 0.18098481363762958
Usuarios 1 e 301, Tipo: Cosseno, Taxa de Similaridade: 0.4561369949494163
Usuarios 1 e 302, Tipo: Cosseno, Taxa de Similaridade: 0.5871210497546498
Usuarios 1 e 303, Tipo: Cosseno, Taxa de Similaridade: 0.20392386988734768
Usuarios 1 e 304, Tipo: Cosseno, Taxa de Similaridade: 0.5847603594488752
Usuarios 1 e 305, Tipo: Cosseno, Taxa de Similaridade: 0.041462185116615896
Usuarios 1 e 306, Tipo: Cosseno, Taxa de Similaridade: 0.6557467704868433
Usuarios 1 e 307, Tipo: Cosseno, Taxa de Similaridade: 0.4767787233849134
Usuarios 1 e 308, Tipo: Cosseno, Taxa de Similaridade: 0.572377785483078
Usuarios 1 e 309, Tipo: Cosseno, Taxa de Similaridade: 0.2873308216638348
Usuarios 1 e 310, Tipo: Cosseno, Taxa de Similaridade: 0.46864534910337347
Usuarios 1 e 311, Tipo: Cosseno, Taxa de Similaridade: 0.3803756058192159
Usuarios 1 e 312, Tipo: Cosseno, Taxa de Similaridade: 0.40127676266469325
Usuarios 1 e 313, Tipo: Cosseno, Taxa de Similaridade: 0.298091234444848
Usuarios 1 e 314, Tipo: Cosseno, Taxa de Similaridade: 0.42903233922474876
Usuarios 1 e 315, Tipo: Cosseno, Taxa de Similaridade: 0.14271743048688967
Usuarios 1 e 316, Tipo: Cosseno, Taxa de Similaridade: 0.6906057773738563
Usuarios 1 e 317, Tipo: Cosseno, Taxa de Similaridade: 0.5371676684534139
Usuarios 1 e 318, Tipo: Cosseno, Taxa de Similaridade: 0.21088531664746243
Usuarios 1 e 319, Tipo: Cosseno, Taxa de Similaridade: 0.4910674400840327
