id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
57,Edwin,0,0,83,0,0,0,0,0,0,0
58,Ben,0,18,83,71,66,0,34,0,0,0
59,Charley,0,13,0,38,4,89,0,0,79,88
60,Paul,0,21,32,17,73,0,25,0,18,0
61,Edgar,0,0,0,89,71,72,52,0,0,6
62,Isaac,0,0,89,0,0,0,0,96,37,0
63,Otto,0,0,54,73,0,28,0,73,0,14
64,Luther,0,46,79,0,0,33,0,32,0,0
65,Lawrence,65,44,89,46,0,0,0,19,57,0
66,Ira,0,0,0,0,48,60,0,0,0,58
67,Patrick,0,43,76,0,88,0,64,0,22,0
68,Guy,0,84,0,6,0,73,0,0,31,17
69,Oliver,44,97,0,78,0,0,0,0,0,0
70,Theodore,0,11,0,0,26,5,79,0,58,0
71,Hugh,0,89,0,0,97,0,42,0,0,37
72,Clyde,0,0,2,6,0,43,0,0,41,28
73,Alexander,88,0,84,0,62,0,12,0,0,0
74,August,0,60,0,1,44,52,0,0,0,17
75,Floyd,89,69,48,71,0,0,0,66,47,0
76,Homer,0,34,28,7,69,77,6,29,15,0
77,Jack,24,27,0,0,10,75,0,96,0,0
78,Leonard,0,57,0,0,82,33,0,0,0,0
79,Horace,43,0,0,0,82,0,100,64,82,73
80,Marion,0,35,0,5,48,0,43,0,0,0
81,Philip,0,51,19,0,25,93,94,36,54,0
82,Allen,0,0,0,45,83,0,66,0,92,0
83,Archie,0,83,80,0,81,0,0,34,5,0
84,Stephen,0,0,0,100,0,85,66,98,31,52
85,Chester,14,0,56,45,0,0,2,36,0,0
86,Willis,0,0,51,0,89,0,0,6,0,0
87,Raymond,0,0,0,80,0,25,41,5,0,0
88,Rufus,40,48,7,28,83,63,35,0,0,6
89,Warren,0,0,0,69,72,0,0,0,0,21
90,Jessie,76,0,40,55,0,91,0,0,0,43
91,Milton,0,0,0,0,81,0,0,0,0,33
92,Alex,0,67,0,0,0,0,0,0,0,0
93,Leo,0,69,31,31,65,0,0,62,0,8
94,Julius,0,0,0,58,43,16,0,95,0,41
95,Ray,0,0,86,0,0,54,0,0,16,0
96,Sidney,0,0,0,0,0,0,0,0,0,0
97,Bernard,0,0,80,0,44,0,35,46,0,2
98,Dan,2,38,0,83,0,0,20,0,96,71
99,Jerry,79,48,94,0,78,0,0,0,91,20
100,Calvin,0,11,0,0,19,11,38,86,55,76
101,Perry,56,3,0,35,0,6,0,8,0,88
102,Dave,0,62,99,0,47,0,0,0,26,0
103,Anthony,13,0,0,5,0,80,61,0,0,9
104,Eddie,0,69,0,0,22,74,0,0,0,77
105,Amos,55,24,36,40,0,0,57,0,0,0
106,Dennis,47,93,34,97,0,0,0,65,0,0
107,Clifford,6,42,54,74,96,21,86,6,9,0
108,Leroy,0,81,88,32,84,55,69,0,54,38
109,Wesley,27,0,0,0,0,53,0,21,43,0
110,Alonzo,50,86,54,0,10,65,49,0,55,93
111,Garfield,0,0,0,0,0,0,10,34,73,90
112,Franklin,54,91,0,0,92,0,0,0,0,78
113,Emil,35,95,44,0,12,0,0,0,53,0
114,Leon,0,55,54,0,93,28,0,0,39,0
115,Nathan,68,0,20,54,0,65,1,0,9,0
116,Harold,0,14,0,55,37,0,14,50,49,0
117,Matthew,0,0,0,86,45,36,0,0,0,75
118,Levi,0,37,66,31,58,0,75,0,0,85
119,Moses,0,0,0,50,76,0,0,0,53,0
120,Everett,0,81,48,0,0,60,68,99,0,0
121,Lester,0,64,20,26,0,48,0,0,38,26
122,Winfield,40,0,0,28,17,84,78,0,68,6
123,Adam,65,52,0,0,16,0,0,0,89,56
124,Lloyd,0,36,0,0,15,58,0,0,0,0
125,Mack,39,0,24,0,35,83,0,9,88,24
126,Fredrick,3,55,54,46,0,14,0,20,0,0
127,Jay,0,73,15,3,29,0,66,0,0,0
128,Jess,0,0,12,0,33,85,0,13,77,0
129,Melvin,10,88,24,70,0,0,67,33,0,60
130,Noah,99,54,70,0,34,90,0,0,64,0
131,Aaron,75,0,0,0,0,10,69,84,0,32
132,Alvin,0,59,0,63,0,0,50,98,82,0
133,Norman,0,55,65,0,0,0,0,74,0,80
134,Gilbert,0,0,0,2,0,0,94,0,70,0
135,Elijah,0,30,70,0,0,40,27,100,12,68
136,Victor,0,52,25,52,59,18,41,10,0,48
137,Gus,0,12,11,0,4,0,0,0,0,59
138,Nelson,50,0,0,7,0,0,51,0,100,0
139,Jasper,0,0,0,51,78,0,0,25,0,28
140,Silas,84,0,0,68,17,58,71,0,0,80
141,Christopher,0,81,41,86,0,0,40,0,48,0
142,Jake,14,0,0,1,0,0,0,60,84,0
143,Mike,0,38,81,0,55,0,0,70,1,0
144,Percy,94,85,0,0,0,0,52,92,71,69
145,Adolph,0,55,0,0,0,0,5,85,92,51
146,Maurice,0,51,6,0,0,0,56,27,63,0
147,Cornelius,99,0,0,0,0,0,0,13,0,33
148,Felix,13,0,56,24,99,0,11,0,0,0
149,Reuben,37,14,0,19,84,0,0,84,55,28
150,Wallace,0,93,0,0,0,25,55,29,0,56
151,Claud,0,0,41,0,70,0,76,0,4,0
152,Roscoe,0,0,0,0,7,87,12,0,0,0
153,Sylvester,0,63,0,67,0,0,0,94,0,4
154,Earnest,0,0,0,0,36,0,0,0,0,0
155,Hiram,68,96,85,62,55,44,26,0,35,76
156,Otis,0,1,40,82,0,46,14,0,1,0
157,Simon,45,0,0,7,54,9,22,40,80,89
158,Willard,46,69,73,0,0,0,86,0,57,0
159,Irvin,45,0,0,0,0,0,0,48,40,0
160,Mark,0,0,47,0,9,82,92,0,42,0
161,Jose,87,0,75,0,85,49,0,81,0,73
162,Wilbur,18,0,97,57,0,22,33,37,0,10
163,Abraham,12,24,64,99,0,88,0,24,13,0
164,Virgil,0,0,53,57,0,31,83,62,0,64
165,Clinton,0,84,0,77,41,0,0,57,0,26
166,Elbert,23,0,95,88,0,88,15,0,0,0
167,Leslie,0,0,57,0,0,24,87,27,31,0
168,Marshall,55,21,0,84,78,47,97,60,51,2
169,Owen,0,60,0,4,0,0,48,0,0,29
170,Wiley,0,0,1,0,0,0,92,0,0,44
171,Anton,0,0,97,0,37,47,83,0,61,0
172,Morris,0,79,0,39,83,3,54,14,0,46
173,Manuel,60,0,34,88,9,11,0,85,75,26
174,Phillip,0,0,0,0,0,0,0,0,0,0
175,Augustus,0,20,0,0,0,46,0,41,0,27
176,Emmett,0,45,0,1,0,0,0,0,79,9
177,Eli,0,0,87,0,21,0,0,27,0,0
178,Nicholas,11,0,56,51,53,0,34,0,91,0
179,Wilson,0,0,0,72,0,0,36,0,60,0
180,Alva,56,14,0,35,48,15,0,0,0,47
181,Harley,0,100,0,39,0,0,0,19,0,0
182,Newton,0,84,0,1,0,57,0,0,0,0
183,Timothy,26,0,66,0,0,28,31,0,0,7
184,Marvin,74,29,0,42,0,95,0,74,23,59
185,Ross,0,0,82,12,0,8,0,0,99,99
186,Curtis,30,43,0,0,0,40,87,8,0,0
187,Edmund,18,63,9,0,84,0,64,0,57,58
188,Jeff,13,0,0,57,0,0,0,0,0,0
189,Elias,31,96,22,95,41,69,11,63,0,50
190,Harrison,0,0,0,0,23,0,0,44,14,19
191,Stanley,16,0,70,67,27,0,0,28,59,0
192,Columbus,13,94,0,0,0,0,100,0,81,60
193,Lon,0,68,30,0,23,0,0,32,77,5
194,Ora,0,32,0,0,37,0,42,18,0,0
195,Ollie,0,0,0,0,0,78,0,26,29,3
196,Russell,0,3,0,0,0,0,0,0,78,0
197,Pearl,46,0,46,0,58,19,0,0,0,0
198,Solomon,54,0,41,72,0,95,0,0,96,0
199,Arch,19,80,0,69,52,8,0,5,0,0
200,Asa,12,0,0,0,26,76,17,0,0,75
201,Clayton,0,3,0,0,55,73,0,0,0,71
202,Enoch,93,91,0,0,0,66,56,86,0,0
203,Irving,0,38,65,0,11,79,0,46,0,0
204,Mathew,80,29,0,0,53,22,0,80,4,51
205,Nathaniel,0,93,90,0,0,0,25,0,0,85
206,Scott,25,0,0,0,82,0,0,30,66,0
207,Hubert,0,7,55,0,20,57,0,0,12,0
208,Lemuel,0,0,0,0,0,0,0,0,0,0
209,Andy,0,74,0,0,38,6,0,0,0,0
210,Ellis,0,73,3,67,96,0,54,56,0,0
211,Emanuel,0,43,23,0,0,0,0,87,0,0
212,Joshua,5,0,0,0,48,2,39,0,0,24
213,Millard,88,0,10,50,0,56,0,60,26,3
214,Vernon,96,93,0,18,0,0,70,9,0,88
215,Wade,0,22,25,59,98,0,49,0,52,0
216,Cyrus,0,35,0,1,56,0,29,0,97,0
217,Miles,0,0,88,0,69,55,0,0,0,73
218,Rudolph,3,28,0,0,0,0,0,0,34,22
219,Sherman,37,99,54,100,0,48,2,0,16,0
220,Austin,72,6,23,0,0,23,0,24,82,69
221,Bill,0,0,94,66,56,0,0,0,0,72
222,Chas,90,30,0,26,88,49,0,0,0,0
223,Lonnie,3,0,63,97,48,0,0,0,0,0
224,Monroe,18,52,0,39,35,21,100,0,0,0
225,Byron,59,93,0,0,66,0,0,0,0,26
226,Edd,0,48,0,12,9,98,0,0,45,0
227,Emery,0,4,63,3,50,98,0,0,0,90
228,Grant,0,0,0,29,0,18,0,58,0,0
229,Jerome,0,56,34,60,0,0,0,0,14,0
230,Max,0,82,85,0,0,0,0,0,0,46
231,Mose,76,30,78,0,0,57,69,59,0,0
232,Steve,0,41,97,29,95,12,15,17,0,0
233,Gordon,0,0,49,0,0,71,0,7,36,79
234,Abe,96,69,52,0,0,26,0,0,0,82
235,Pete,0,0,48,58,38,47,92,19,17,86
236,Chris,0,99,23,94,0,89,92,89,62,13
237,Clark,54,0,0,0,0,56,97,73,29,60
238,Gustave,16,0,0,42,0,0,0,74,17,0
239,Orville,0,7,0,0,21,78,27,0,0,0
240,Lorenzo,0,0,0,30,0,0,49,74,2,69
241,Bruce,42,0,0,20,0,0,0,74,98,0
242,Marcus,0,0,0,18,0,0,0,80,29,0
243,Preston,0,0,0,92,8,55,30,97,0,35
244,Bob,0,0,93,0,0,0,0,1,0,0
245,Dock,39,0,6,0,0,0,0,43,0,15
246,Donald,44,0,0,18,0,0,33,50,88,0
247,Jackson,33,0,0,0,86,50,92,0,0,0
248,Cecil,0,48,0,0,0,14,77,95,96,86
249,Barney,5,0,79,79,0,0,0,56,68,0
250,Delbert,28,0,73,95,29,26,73,0,97,9
251,Edmond,52,17,0,18,98,82,8,61,0,71
252,Anderson,57,39,96,15,16,0,0,0,0,0
253,Christian,0,0,0,0,62,0,0,10,18,0
254,Glenn,0,14,93,3,95,55,0,0,63,42
255,Jefferson,75,0,20,26,0,0,59,0,0,32
256,Luke,0,0,0,36,65,52,31,0,0,61
257,Neal,89,0,23,0,4,0,46,0,0,0
258,Burt,93,0,86,0,0,25,97,21,63,0
259,Ike,71,35,28,30,73,0,0,0,79,16
260,Myron,48,0,78,0,0,0,0,0,32,77
261,Tony,0,0,0,45,0,99,60,48,0,36
262,Conrad,84,0,0,0,28,84,0,0,0,63
263,Joel,43,0,0,94,0,0,0,0,1,6
264,Matt,0,0,24,0,0,0,0,11,35,0
265,Riley,0,0,44,50,34,0,62,0,0,0
266,Vincent,0,0,15,20,67,87,0,92,92,0
267,Emory,36,86,0,0,0,0,0,0,0,85
268,Isaiah,55,0,33,70,0,64,0,0,29,0
269,Nick,0,42,70,0,80,0,65,74,48,73
270,Ezra,0,95,41,0,0,0,22,0,25,9
271,Green,32,30,19,73,66,0,23,0,62,0
272,Juan,100,0,5,79,52,0,73,0,0,93
273,Clifton,59,0,0,0,0,71,30,0,0,0
274,Lucius,0,16,0,0,0,62,13,60,4,0
275,Porter,68,21,93,0,0,0,79,0,26,54
276,Arnold,0,0,4,0,66,14,97,0,0,0
277,Bud,44,0,90,100,0,0,64,0,30,40
278,Jeremiah,0,75,0,27,24,0,20,0,44,38
279,Taylor,63,0,0,0,0,82,42,0,53,0
280,Forrest,0,0,0,0,19,92,0,100,42,50
281,Roland,42,0,43,48,10,21,0,0,0,0
282,Spencer,0,0,0,0,0,81,50,33,0,0
283,Burton,51,0,96,90,0,0,32,0,0,10
284,Don,37,0,1,0,40,29,81,94,0,0
285,Emmet,0,74,9,0,5,0,0,12,78,81
286,Gustav,35,24,21,15,0,0,0,0,82,34
287,Louie,0,5,0,0,0,48,45,98,0,0
288,Morgan,64,0,0,0,0,0,0,89,0,67
289,Ned,0,17,0,6,89,0,29,0,20,0
290,Van,0,0,64,83,10,0,99,0,4,0
291,Ambrose,0,0,0,60,0,59,92,86,0,55
292,Chauncey,50,0,38,51,0,69,0,99,52,83
293,Elisha,0,0,45,0,0,22,34,68,0,0
294,Ferdinand,0,0,65,0,13,0,0,48,24,0
295,General,0,0,0,0,0,0,0,12,90,0
296,Julian,94,98,0,0,0,84,0,74,0,0
297,Kenneth,72,36,0,26,0,59,0,12,0,0
298,Mitchell,40,0,0,0,72,0,89,0,58,1
299,Allie,0,99,2,0,0,48,74,86,0,0
300,Josh,0,0,99,52,0,0,62,3,0,0
301,Judson,100,0,0,47,0,0,73,10,0,9
302,Lyman,0,92,0,0,96,19,0,0,16,0
303,Napoleon,0,0,20,52,20,33,0,0,87,0
304,Pedro,0,68,62,0,98,13,96,22,0,34
305,Berry,13,0,0,0,0,71,0,0,7,72
306,Dewitt,70,0,58,0,0,4,21,85,0,0
307,Ervin,30,32,0,56,0,16,0,0,0,1
308,Forest,0,0,54,71,89,49,53,36,60,0
309,Lynn,0,24,0,30,0,40,66,0,0,0
310,Pink,0,0,46,0,0,0,49,67,56,5
311,Ruben,0,0,94,0,0,49,58,89,42,86
312,Sanford,78,0,4,32,0,0,30,0,0,25
313,Ward,0,85,24,0,0,5,67,0,70,0
314,Douglas,0,38,0,0,50,62,0,0,0,0
315,Ole,26,0,71,10,0,6,0,0,0,0
316,Omer,0,100,68,69,71,28,0,71,88,0
317,Ulysses,19,8,13,77,88,0,61,0,0,61
318,Walker,0,88,4,0,0,0,0,0,85,82
319,Wilbert,0,0,51,0,27,91,0,85,41,0
320,Adelbert,0,92,0,0,0,0,0,44,0,31
321,Benjiman,18,71,0,6,59,0,0,0,0,78
322,Ivan,0,42,3,0,16,55,62,0,94,57
323,Jonas,0,16,0,34,80,0,0,0,0,0
324,Major,0,77,99,60,0,0,83,0,0,48
325,Abner,0,0,0,0,69,0,82,32,0,0
326,Archibald,62,0,28,0,62,0,0,0,0,37
327,Caleb,66,56,40,99,6,0,0,11,0,0
328,Clint,43,17,0,79,0,0,0,0,0,0
329,Dudley,98,0,1,83,21,0,68,37,57,11
330,Granville,0,0,0,0,96,0,55,21,70,60
331,King,19,0,8,0,5,0,77,0,0,98
332,Mary,42,0,81,0,0,45,43,35,46,0
333,Merton,33,0,59,0,0,0,0,34,12,40
334,Antonio,0,0,82,0,13,92,0,0,68,22
335,Bennie,92,89,0,0,20,0,42,4,91,0
336,Carroll,0,5,0,0,0,0,0,80,0,0
337,Freeman,0,0,7,34,0,25,28,82,92,0
338,Josiah,24,0,63,49,0,29,38,75,22,0
339,Milo,0,54,0,63,96,84,0,0,0,74
340,Royal,70,52,76,0,0,0,0,85,51,59
341,Dick,2,10,0,0,55,18,15,0,5,0
342,Earle,0,0,66,67,64,32,19,0,78,30
343,Elza,31,0,0,0,59,0,14,0,0,0
344,Emerson,0,0,0,86,0,0,56,0,3,55
345,Fletcher,0,0,0,0,0,0,0,61,0,36
346,Judge,0,0,55,0,0,46,67,80,0,41
347,Laurence,33,68,0,0,93,73,86,0,0,10
348,Neil,0,0,0,0,0,0,0,73,0,0
349,Roger,36,33,6,23,19,0,93,64,36,0
350,Seth,72,14,62,53,56,0,0,0,0,0
351,Glen,62,0,66,0,0,31,54,0,90,80
352,Hugo,4,54,0,97,0,64,33,0,62,0
353,Jimmie,97,0,14,0,0,51,0,0,0,17
354,Johnnie,0,0,0,28,5,97,0,0,0,21
355,Washington,0,3,69,30,0,0,0,0,47,31
356,Elwood,29,47,22,0,53,16,0,87,73,0
357,Gust,0,63,78,32,42,0,42,0,77,34
358,Harmon,88,0,1,0,0,0,0,29,93,0
359,Jordan,4,0,11,45,80,0,0,0,37,0
360,Simeon,0,4,0,33,16,0,0,0,0,0
361,Wayne,49,0,0,14,19,0,26,0,0,63
362,Wilber,0,0,0,40,85,40,0,38,0,0
363,Clem,31,82,0,59,0,0,7,38,0,11
364,Evan,0,0,0,5,13,41,52,57,91,23
365,Frederic,0,100,0,0,74,31,0,0,0,26
366,Irwin,23,0,28,0,0,68,0,38,0,0
367,Junius,0,0,10,0,31,68,19,0,0,7
368,Lafayette,82,0,11,0,0,86,0,67,0,50
369,Loren,0,0,0,0,33,0,0,92,28,99
370,Madison,65,62,0,99,0,0,0,0,0,25
371,Mason,0,0,0,0,0,0,99,0,0,0
372,Orval,31,0,90,0,0,39,0,0,0,27
373,Abram,0,96,99,0,0,0,0,0,0,0
374,Aubrey,0,0,92,0,0,74,98,0,0,36
375,Elliott,0,76,0,0,90,86,0,55,58,0
376,Hans,0,0,0,0,63,9,26,0,0,37
377,Karl,6,0,0,24,0,0,0,0,0,0
378,Minor,88,0,93,29,93,0,69,7,0,0
379,Wash,0,85,19,60,0,41,0,9,0,0
380,Wilfred,0,11,50,5,1,12,45,70,61,97
381,Allan,81,0,20,21,73,79,0,0,21,98
382,Alphonse,6,0,43,40,0,32,42,0,7,0
383,Dallas,63,90,66,59,12,0,0,82,0,0
384,Dee,67,0,0,0,0,100,100,0,0,77
385,Isiah,0,39,65,90,0,64,6,0,75,0
386,Jason,30,64,44,0,0,98,90,60,58,20
387,Johnny,62,0,0,15,1,0,97,0,83,0
388,Lawson,0,0,0,91,15,0,0,74,38,0
389,Lew,0,63,44,20,46,0,86,0,0,42
390,Micheal,0,72,57,41,85,0,0,4,0,0
391,Orin,0,4,0,0,6,0,33,0,0,0
392,Addison,0,0,0,17,49,84,0,0,0,12
393,Cal,0,71,0,0,91,7,44,7,0,0
394,Erastus,0,0,0,73,50,36,0,0,0,81
395,Francisco,91,0,39,52,0,0,17,0,0,0
396,Hardy,89,87,36,0,51,20,88,0,0,36
397,Lucien,0,55,48,0,0,33,86,62,0,98
398,Randolph,0,0,0,0,70,49,12,0,18,0
399,Stewart,48,51,0,94,36,35,34,0,74,0
400,Vern,0,0,0,66,0,0,0,34,0,79
401,Wilmer,58,20,0,0,30,0,50,0,0,89
402,Zack,95,6,0,43,1,0,0,13,0,4
403,Adrian,0,100,0,20,3,47,12,0,99,0
404,Alvah,0,0,70,0,0,49,33,0,0,0
405,Bertram,76,64,51,76,20,37,0,58,0,0
406,Clay,0,88,95,0,0,0,0,0,49,0
407,Ephraim,0,41,14,0,0,0,0,34,37,0
408,Fritz,87,0,88,0,94,0,0,55,0,28
409,Giles,0,27,9,79,0,53,45,34,0,75
410,Grover,0,2,0,27,48,78,0,0,0,0
411,Harris,10,0,0,94,40,74,54,18,0,34
412,Isom,2,0,0,0,0,96,0,0,34,0
413,Jesus,76,0,63,29,0,71,0,0,31,0
414,Johnie,20,79,81,46,0,84,0,0,0,78
415,Jonathan,8,54,0,0,0,0,10,0,0,0
416,Lucian,59,36,4,24,69,0,79,34,26,57
417,Malcolm,0,61,73,0,0,96,0,49,5,0
418,Merritt,0,0,0,0,0,43,61,0,0,0
419,Otho,0,0,34,0,26,0,89,0,0,0
420,Perley,47,0,0,0,58,0,0,0,0,82
421,Rolla,0,0,0,2,23,0,16,77,87,0
422,Sandy,0,0,0,0,4,0,0,0,0,0
423,Tomas,55,0,0,0,4,57,0,66,0,0
424,Wilford,4,0,50,80,75,80,0,38,0,0
425,Adolphus,9,0,33,77,23,47,6,21,0,16
426,Angus,0,0,0,66,44,30,79,93,63,0
427,Arther,81,6,23,0,0,77,83,0,0,69
428,Carlos,0,43,73,35,28,81,0,12,0,63
429,Cary,0,22,0,0,0,0,0,63,0,1
430,Cassius,62,30,0,0,0,81,0,70,0,1
431,Davis,0,46,0,32,59,0,28,0,45,94
432,Hamilton,0,67,0,0,25,15,32,26,0,1
433,Harve,0,0,0,15,89,45,0,20,0,0
434,Israel,50,0,0,73,13,66,0,17,0,0
435,Leander,25,0,0,0,0,0,44,0,73,0
436,Melville,0,0,0,0,0,73,0,0,4,8
437,Merle,43,75,0,0,0,95,3,0,0,51
438,Murray,54,0,73,5,0,91,0,74,0,22
439,Pleasant,0,54,20,55,0,0,62,0,37,16
440,Sterling,58,25,0,0,0,65,0,0,0,54
441,Steven,12,35,0,0,0,0,0,65,0,55
442,Axel,0,0,75,0,0,8,0,13,14,6
443,Boyd,0,56,87,44,0,35,0,0,0,26
444,Bryant,23,23,40,86,0,0,32,48,0,22
445,Clement,0,41,65,0,0,0,0,87,0,62
446,Erwin,0,63,87,0,0,0,0,0,25,56
447,Ezekiel,0,0,0,0,70,19,71,0,0,0
448,Foster,52,88,0,0,0,81,0,12,67,0
449,Frances,0,16,0,0,0,0,0,87,0,0
450,Geo,79,97,0,0,0,3,0,0,0,53
451,Houston,43,0,0,0,0,79,99,0,0,0
452,Issac,14,26,38,10,95,34,48,0,76,0
453,Jules,0,93,51,77,0,80,0,0,0,25
454,Larkin,0,0,0,0,11,3,45,70,0,0
455,Mat,0,0,66,0,68,0,0,0,46,0
456,Morton,0,37,2,1,87,13,76,0,100,0
457,Orlando,0,0,15,82,0,0,0,0,0,61
458,Pierce,78,5,31,61,0,97,17,0,75,62
459,Prince,0,0,11,0,0,95,78,0,57,0
460,Rollie,0,0,0,0,0,0,61,64,0,53
461,Rollin,0,18,5,0,0,0,0,85,0,62
462,Sim,63,0,23,48,50,0,0,59,46,0
463,Stuart,86,0,41,89,0,0,16,14,52,34
464,Wilburn,0,0,0,0,43,96,0,82,35,0
465,Bennett,53,0,0,19,0,0,0,32,0,5
466,Casper,27,92,58,0,0,0,10,67,13,68
467,Christ,0,0,40,2,90,69,72,0,0,94
468,Dell,0,50,27,13,53,41,0,0,0,0
469,Egbert,40,59,67,17,61,0,4,23,0,85
470,Elmo,20,0,15,0,70,0,83,0,19,77
471,Fay,0,1,0,17,92,0,0,2,48,0
472,Gabriel,0,93,58,0,40,4,0,0,68,0
473,Hector,30,60,0,0,0,24,0,34,0,2
474,Horatio,62,0,0,0,0,39,0,0,97,69
475,Lige,0,0,58,0,75,56,50,0,0,0
476,Saul,0,31,91,49,0,0,0,45,0,0
477,Smith,30,0,32,0,0,19,0,53,0,0
478,Squire,36,0,5,32,0,0,0,0,90,0
479,Tobe,60,0,0,0,0,1,0,0,69,63
480,Tommie,75,18,30,0,78,0,69,0,3,0
481,Wyatt,0,0,0,31,69,0,0,14,0,88
482,Alford,0,62,0,0,0,24,0,50,50,0
483,Alma,13,20,55,82,15,6,0,60,0,95
484,Alton,0,45,50,4,0,1,0,0,65,75
485,Andres,0,54,82,37,0,0,0,0,99,18
486,Burl,40,0,0,89,79,28,83,0,0,0
487,Cicero,0,62,0,0,0,34,46,0,0,0
488,Dean,0,45,16,0,0,0,0,0,0,0
489,Dorsey,0,60,95,0,77,0,0,0,62,83
490,Enos,0,0,37,17,20,31,0,1,68,0
491,Howell,100,23,66,29,0,0,0,21,0,73
492,Lou,66,0,57,0,0,0,0,65,7,0
493,Loyd,0,0,82,0,62,16,0,67,45,9
494,Mahlon,0,0,93,39,10,42,0,85,0,0
495,Nat,0,93,71,0,0,0,0,46,97,92
496,Omar,0,1,0,0,0,0,0,6,0,60
497,Oran,32,77,82,81,0,0,0,0,0,55
498,Parker,0,51,58,44,0,0,0,0,0,0
499,Raleigh,74,22,0,98,0,0,78,41,67,89
500,Reginald,71,62,63,0,0,0,0,0,0,4
501,Rubin,83,54,0,7,42,86,0,38,35,17
502,Seymour,8,0,0,0,0,48,0,0,27,73
503,Wm,0,91,72,4,32,72,0,7,0,0
504,Young,83,95,0,98,76,0,33,0,0,0
505,Benjamine,0,0,81,0,84,67,74,46,23,86
506,Carey,0,18,0,23,0,6,0,0,99,0
507,Carlton,94,0,0,0,19,67,0,36,20,77
508,Eldridge,0,64,0,6,0,0,77,20,0,0
509,Elzie,0,0,0,24,94,0,0,0,14,82
510,Garrett,46,0,0,12,96,62,0,42,0,95
511,Isham,0,0,35,0,74,0,0,0,0,68
512,Johnson,0,0,71,3,50,84,82,94,0,99
513,Larry,71,0,0,17,0,0,20,57,90,0
514,Logan,0,0,0,83,22,85,69,91,0,48
515,Merrill,0,15,0,58,0,0,0,0,46,82
516,Mont,90,0,82,0,50,0,94,20,8,0
517,Oren,33,0,85,0,0,0,32,82,0,28
518,Pierre,11,43,5,86,55,29,0,0,43,0
519,Rex,0,85,15,68,0,0,19,0,93,0
520,Rodney,0,14,16,46,36,0,0,80,0,0
521,Ted,0,0,56,50,0,0,0,0,0,0
522,Webster,0,27,91,0,75,0,53,0,49,55
523,West,0,0,64,0,0,0,74,0,47,60
524,Wheeler,0,84,50,0,9,33,7,0,0,0
