id,name,sex
,Merrill,boy
,Mont,boy
,Oren,boy
,Pierre,boy
,Rex,boy
,Rodney,boy
,Ted,boy
,Webster,boy
,West,boy
,Wheeler,boy
,Willam,boy
,Al,boy
,Aloysius,boy
,Alvie,boy
,Anna,boy
,Art,boy
,Augustine,boy
,Bailey,boy
,Benjaman,boy
,Beverly,boy
,Bishop,boy
,Clair,boy
,Cloyd,boy
,Coleman,boy
,Dana,boy
,Duncan,boy
,Dwight,boy
,Emile,boy
,Evert,boy
,Henderson,boy
,Hunter,boy
,Jean,boy
,Lem,boy
,Luis,boy
,Mathias,boy
,Maynard,boy
,Miguel,boy
,Mortimer,boy
,Nels,boy
,Norris,boy
,Pat,boy
,Phil,boy
,Rush,boy
,Santiago,boy
,Sol,boy
,Sydney,boy
,Thaddeus,boy
,Thornton,boy
,Tim,boy
,Travis,boy
,Truman,boy
,Watson,boy
,Webb,boy
,Wellington,boy
,Winfred,boy
,Wylie,boy
,Alec,boy
,Basil,boy
,Baxter,boy
,Bertrand,boy
,Buford,boy
,Burr,boy
,Cleveland,boy
,Colonel,boy
,Dempsey,boy
,Early,boy
,Ellsworth,boy
,Fate,boy
,Finley,boy
,Gabe,boy
,Garland,boy
,Gerald,boy
,Herschel,boy
,Hezekiah,boy
,Justus,boy
,Lindsey,boy
,Marcellus,boy
,Olaf,boy
,Olin,boy
,Pablo,boy
,Rolland,boy
,Turner,boy
,Verne,boy
,Volney,boy
,Williams,boy
,Almon,boy
,Alois,boy
,Alonza,boy
,Anson,boy
,Authur,boy
,Benton,boy
,Billie,boy
,Cornelious,boy
,Darius,boy
,Denis,boy
,Dillard,boy
,Doctor,boy
,Elvin,boy
,Emma,boy
,Eric,boy
,Evans,boy
,Gideon,boy
,Haywood,boy
,Hilliard,boy
,Hosea,boy
,Lincoln,boy
,Lonzo,boy
,Lucious,boy
,Lum,boy
,Malachi,boy
,Newt,boy
,Noel,boy
,Orie,boy
,Palmer,boy
,Pinkney,boy
,Shirley,boy
,Sumner,boy
,Terry,boy
,Urban,boy
,Uriah,boy
,Valentine,boy
,Waldo,boy
,Warner,boy
,Wong,boy
,Zeb,boy
,Abel,boy
,Alden,boy
,Archer,boy
,Avery,boy
,Carson,boy
,Cullen,boy
,Doc,boy
,Eben,boy
,Elige,boy
,Elizabeth,boy
,Elmore,boy
,Ernst,boy
,Finis,boy
,Freddie,boy
,Godfrey,boy
,Guss,boy
,Hamp,boy
,Hermann,boy
,Isadore,boy
,Isreal,boy
,Jones,boy
,June,boy
,Lacy,boy
,Lafe,boy
,Leland,boy
,Llewellyn,boy
,Ludwig,boy
,Manford,boy
,Maxwell,boy
,Minnie,boy
,Obie,boy
,Octave,boy
,Orrin,boy
,Ossie,boy
,Oswald,boy
,Park,boy
,Parley,boy
,Ramon,boy
,Rice,boy
,Stonewall,boy
,Theo,boy
,Tillman,boy
,Addie,boy
,Aron,boy
,Ashley,boy
,Bernhard,boy
,Bertie,boy
,Berton,boy
,Buster,boy
,Butler,boy
,Carleton,boy
,Carrie,boy
,Clara,boy
,Clarance,boy
,Clare,boy
,Crawford,boy
,Danial,boy
,Dayton,boy
,Dolphus,boy
,Elder,boy
,Ephriam,boy
,Fayette,boy
,Felipe,boy
,Fernando,boy
,Flem,boy
,Florence,boy
,Ford,boy
,Harlan,boy
,Hayes,boy
,Henery,boy
,Hoy,boy
,Huston,boy
,Ida,boy
,Ivory,boy
,Jonah,boy
,Justin,boy
,Lenard,boy
,Leopold,boy
,Lionel,boy
,Manley,boy
,Marquis,boy
,Marshal,boy
,Mart,boy
,Odie,boy
,Olen,boy
,Oral,boy
,Orley,boy
,Otha,boy
,Press,boy
,Price,boy
,Quincy,boy
,Randall,boy
,Rich,boy
,Richmond,boy
,Romeo,boy
,Russel,boy
,Rutherford,boy
,Shade,boy
,Shelby,boy
,Solon,boy
,Thurman,boy
,Tilden,boy
,Troy,boy
,Woodson,boy
,Worth,boy
,Aden,boy
,Alcide,boy
,Alf,boy
,Algie,boy
,Arlie,boy
,Bart,boy
,Bedford,boy
,Benito,boy
,Billy,boy
,Bird,boy
,Birt,boy
,Bruno,boy
,Burley,boy
,Chancy,boy
,Claus,boy
,Cliff,boy
,Clovis,boy
,Connie,boy
,Creed,boy
,Delos,boy
,Duke,boy
,Eber,boy
,Eligah,boy
,Elliot,boy
,Elton,boy
,Emmitt,boy
,Gene,boy
,Golden,boy
,Hal,boy
,Hardin,boy
,Harman,boy
,Hervey,boy
,Hollis,boy
,Ivey,boy
,Jennie,boy
,Len,boy
,Lindsay,boy
,Lonie,boy
,Lyle,boy
,Mac,boy
,Mal,boy
,Math,boy
,Miller,boy
,Orson,boy
,Osborne,boy
,Percival,boy
,Pleas,boy
,Ples,boy
,Rafael,boy
,Raoul,boy
,Roderick,boy
,Rose,boy
,Shelton,boy
,Sid,boy
,Theron,boy
,Tobias,boy
,Toney,boy
,Tyler,boy
,Vance,boy
,Vivian,boy
,Walton,boy
,Watt,boy
,Weaver,boy
,Wilton,boy
,Adolf,boy
,Albin,boy
,Albion,boy
,Allison,boy
,Alpha,boy
,Alpheus,boy
,Anastacio,boy
,Andre,boy
,Annie,boy
,Arlington,boy
,Armand,boy
,Asberry,boy
,Asbury,boy
,Asher,boy
,Augustin,boy
,Auther,boy
,Author,boy
,Ballard,boy
,Blas,boy
,Caesar,boy
,Candido,boy
,Cato,boy
,Clarke,boy
,Clemente,boy
,Colin,boy
,Commodore,boy
,Cora,boy
,Coy,boy
,Cruz,boy
,Curt,boy
,Damon,boy
,Davie,boy
,Delmar,boy
,Dexter,boy
,Dora,boy
,Doss,boy
,Drew,boy
,Edson,boy
,Elam,boy
,Elihu,boy
,Eliza,boy
,Elsie,boy
,Erie,boy
,Ernie,boy
,Ethel,boy
,Ferd,boy
,Friend,boy
,Garry,boy
,Gary,boy
,Grace,boy
,Gustaf,boy
,Hallie,boy
,Hampton,boy
,Harrie,boy
,Hattie,boy
,Hence,boy
,Hillard,boy
,Hollie,boy
,Holmes,boy
,Hope,boy
,Hyman,boy
,Ishmael,boy
,Jarrett,boy
,Jessee,boy
,Joeseph,boy
,Junious,boy
,Kirk,boy
,Levy,boy
,Mervin,boy
,Michel,boy
,Milford,boy
,Mitchel,boy
,Nellie,boy
,Noble,boy
,Obed,boy
,Oda,boy
,Orren,boy
,Ottis,boy
,Rafe,boy
,Redden,boy
,Reese,boy
,Rube,boy
,Ruby,boy
,Rupert,boy
,Salomon,boy
,Sammie,boy
,Sanders,boy
,Soloman,boy
,Stacy,boy
,Stanford,boy
,Stanton,boy
,Thad,boy
,Titus,boy
,Tracy,boy
,Vernie,boy
,Wendell,boy
,Wilhelm,boy
,Willian,boy
,Yee,boy
,Zeke,boy
,Ab,boy
,Abbott,boy
,Agustus,boy
,Albertus,boy
,Almer,boy
,Alphonso,boy
,Alvia,boy
,Artie,boy
,Arvid,boy
,Ashby,boy
,Augusta,boy
,Aurthur,boy
,Babe,boy
,Baldwin,boy
,Barnett,boy
,Bartholomew,boy
,Barton,boy
,Bernie,boy
,Blaine,boy
,Boston,boy
,Brad,boy
,Bradford,boy
,Bradley,boy
,Brooks,boy
,Buck,boy
,Budd,boy
,Ceylon,boy
,Chalmers,boy
,Chesley,boy
,Chin,boy
,Cleo,boy
,Crockett,boy
,Cyril,boy
,Daisy,boy
,Denver,boy
,Dow,boy
,Duff,boy
,Edie,boy
,Edith,boy
,Elick,boy
,Elie,boy
,Eliga,boy
,Eliseo,boy
,Elroy,boy
,Ely,boy
,Ennis,boy
,Enrique,boy
,Erasmus,boy
,Esau,boy
,Everette,boy
,Firman,boy
,Fleming,boy
,Flora,boy
,Gardner,boy
,Gee,boy
,Gorge,boy
,Gottlieb,boy
,Gregorio,boy
,Gregory,boy
,Gustavus,boy
,Halsey,boy
,Handy,boy
,Hardie,boy
,Harl,boy
,Hayden,boy
,Hays,boy
,Hermon,boy
,Hershel,boy
,Holly,boy
,Hosteen,boy
,Hoyt,boy
,Hudson,boy
,Huey,boy
,Humphrey,boy
,Hunt,boy
,Hyrum,boy
,Irven,boy
,Isam,boy
,Ivy,boy
,Jabez,boy
,Jewel,boy
,Jodie,boy
,Judd,boy
,Julious,boy
,Justice,boy
,Katherine,boy
,Kelly,boy
,Kit,boy
,Knute,boy
,Lavern,boy
,Lawyer,boy
,Layton,boy
,John,boy
,William,boy
,James,boy
,George,boy
,Charles,boy
,Frank,boy
,Joseph,boy
,Henry,boy
,Thomas,boy
,Edward,boy
,Robert,boy
,Harry,boy
,Walter,boy
,Arthur,boy
,Fred,boy
,Albert,boy
,Samuel,boy
,David,boy
,Louis,boy
,Charlie,boy
,Clarence,boy
,Richard,boy
,Joe,boy
,Andrew,boy
,Ernest,boy
,Will,boy
,Jesse,boy
,Oscar,boy
,Daniel,boy
,Willie,boy
,Benjamin,boy
,Sam,boy
,Alfred,boy
,Roy,boy
,Lewis,boy
,Frederick,boy
,Peter,boy
,Elmer,boy
,Jacob,boy
,Herbert,boy
,Carl,boy
,Howard,boy
,Tom,boy
,Lee,boy
,Ralph,boy
,Martin,boy
,Jim,boy
,Earl,boy
,Eugene,boy
,Bert,boy
,Edgar,boy
,Herman,boy
,Claude,boy
,Michael,boy
,Paul,boy
,Ben,boy
,Ira,boy
,Harvey,boy
,Chester,boy
,Edwin,boy
,Ed,boy
,Charley,boy
,Francis,boy
,Isaac,boy
,Luther,boy
,Lawrence,boy
,Oliver,boy
,Clyde,boy
,Otto,boy
,Hugh,boy
,Alexander,boy
,Leonard,boy
,Jack,boy
,Raymond,boy
,Patrick,boy
,Guy,boy
,Homer,boy
,Floyd,boy
,Theodore,boy
,Allen,boy
,August,boy
,Marion,boy
,Philip,boy
,Warren,boy
,Horace,boy
,Dan,boy
,Ray,boy
,Garfield,boy
,Stephen,boy
,Emil,boy
,Jessie,boy
,Milton,boy
,Willis,boy
,Calvin,boy
,Dave,boy
,Bernard,boy
,Julius,boy
,Leroy,boy
,Sidney,boy
,Anthony,boy
,Archie,boy
,Perry,boy
,Leo,boy
,Leon,boy
,Rufus,boy
,Harold,boy
,Franklin,boy
,Adam,boy
,Alex,boy
,Alonzo,boy
,Everett,boy
,Clifford,boy
,Victor,boy
,Eddie,boy
,Alvin,boy
,Levi,boy
,Amos,boy
,Roscoe,boy
,Wesley,boy
,Dennis,boy
,Eli,boy
,Jerry,boy
,Jay,boy
,Hiram,boy
,Norman,boy
,Percy,boy
,Aaron,boy
,Gus,boy
,Mark,boy
,Willard,boy
,Moses,boy
,Earnest,boy
,Gilbert,boy
,Jake,boy
,Leslie,boy
,Nathan,boy
,Adolph,boy
,Nelson,boy
,Otis,boy
,Irvin,boy
,Wallace,boy
,Clinton,boy
,Lester,boy
,Lloyd,boy
,Morris,boy
,Abraham,boy
,Jess,boy
,Elbert,boy
,Phillip,boy
,Jasper,boy
,Ross,boy
,Noah,boy
,Wilbur,boy
,Claud,boy
,Cornelius,boy
,Mack,boy
,Matthew,boy
,Lonnie,boy
,Jose,boy
,Melvin,boy
,Stanley,boy
,Sylvester,boy
,Wiley,boy
,Simon,boy
,Reuben,boy
,Silas,boy
,Wilson,boy
,Curtis,boy
,Felix,boy
,Maurice,boy
,Alva,boy
,Elijah,boy
,Christopher,boy
,Owen,boy
,Austin,boy
,Clark,boy
,Max,boy
,Asa,boy
,Emmett,boy
,Fredrick,boy
,Russell,boy
,Virgil,boy
,Winfield,boy
,Mose,boy
,Timothy,boy
,Rudolph,boy
,Edmund,boy
,Harley,boy
,Harrison,boy
,Jeff,boy
,Orville,boy
,Irving,boy
,Andy,boy
,Ellis,boy
,Lemuel,boy
,Monroe,boy
,Anton,boy
,Joel,boy
,Manuel,boy
,Marvin,boy
,Pete,boy
,Vernon,boy
,Marshall,boy
,Nicholas,boy
,Ike,boy
,Mathew,boy
,Ora,boy
,Christian,boy
,Emery,boy
,Newton,boy
,Chris,boy
,Clayton,boy
,Pearl,boy
,Wade,boy
,Augustus,boy
,Columbus,boy
,Scott,boy
,Bob,boy
,Solomon,boy
,Emanuel,boy
,Nathaniel,boy
,Riley,boy
,Sherman,boy
,Glenn,boy
,Johnnie,boy
,Juan,boy
,Marcus,boy
,Ollie,boy
,Enoch,boy
,Ezra,boy
,Mike,boy
,Steve,boy
,Ambrose,boy
,Arch,boy
,Dock,boy
,Hubert,boy
,Bill,boy
,Burton,boy
,Edmond,boy
,Emory,boy
,Luke,boy
,Ole,boy
,Elias,boy
,Anderson,boy
,Barney,boy
,Byron,boy
,Cyrus,boy
,Edd,boy
,Joshua,boy
,Major,boy
,Miles,boy
,Chas,boy
,Clifton,boy
,Gustave,boy
,Nick,boy
,Taylor,boy
,Bud,boy
,Jerome,boy
,Lucius,boy
,Burt,boy
,Ward,boy
,Abe,boy
,Hugo,boy
,Julian,boy
,Millard,boy
,Preston,boy
,Tony,boy
,Cecil,boy
,Seth,boy
,Bruce,boy
,Fletcher,boy
,Jeremiah,boy
,Grant,boy
,Green,boy
,Neal,boy
,Bennie,boy
,Conrad,boy
,Dee,boy
,Ervin,boy
,Gordon,boy
,Grover,boy
,Isaiah,boy
,Lorenzo,boy
,Porter,boy
,Van,boy
,Glen,boy
,Jefferson,boy
,Louie,boy
,Abner,boy
,Abram,boy
,Dudley,boy
,Lucian,boy
,Roland,boy
,Vincent,boy
,Wayne,boy
,Arnold,boy
,Elisha,boy
,Elwood,boy
,Karl,boy
,Kenneth,boy
,Mary,boy
,Matt,boy
,Myron,boy
,Pink,boy
,Roger,boy
,Wilbert,boy
,Donald,boy
,Forrest,boy
,Irwin,boy
,Jackson,boy
,Laurence,boy
,Madison,boy
,Sanford,boy
,Archibald,boy
,Delbert,boy
,Lon,boy
,Stewart,boy
,Antonio,boy
,Chauncey,boy
,Don,boy
,Noble,boy
,Otho,boy
,Spencer,boy
,Avery,boy
,Dallas,boy
,Freeman,boy
,Jonas,boy
,Lige,boy
,Napoleon,boy
,Walker,boy
,Zack,boy
,Boyd,boy
,Clay,boy
,Dewitt,boy
,Emmet,boy
,Evan,boy
,General,boy
,Isiah,boy
,Josiah,boy
,Omer,boy
,Perley,boy
,Ferdinand,boy
,Hans,boy
,Israel,boy
,Judson,boy
,Morgan,boy
,Waldo,boy
,Berry,boy
,Carroll,boy
,Clement,boy
,Elliott,boy
,Ezekiel,boy
,Foster,boy
,Gust,boy
,Jason,boy
,Josh,boy
,Junius,boy
,Loren,boy
,Wilfred,boy
,Adolphus,boy
,Allie,boy
,Benjiman,boy
,Christ,boy
,Dwight,boy
,Earle,boy
,Francisco,boy
,Giles,boy
,Granville,boy
,Jonathan,boy
,Lafayette,boy
,Leander,boy
,Lyman,boy
,Lynn,boy
,Ruben,boy
,Dick,boy
,Elvin,boy
,Emerson,boy
,Emile,boy
,Isom,boy
,Jimmie,boy
,King,boy
,Mitchell,boy
,Orrin,boy
,Pat,boy
,Royal,boy
,Sim,boy
,Truman,boy
,Washington,boy
,Al,boy
,Carlos,boy
,Lem,boy
,Milo,boy
,Oren,boy
,Orlando,boy
,Allan,boy
,Arther,boy
,Caleb,boy
,Cicero,boy
,Clem,boy
,Clint,boy
,Dean,boy
,Forest,boy
,Gustav,boy
,Harmon,boy
,Ivan,boy
,Jordan,boy
,Ned,boy
,Nels,boy
,Phil,boy
,Randolph,boy
,Smith,boy
,Tomas,boy
,Turner,boy
,Ulysses,boy
,Vern,boy
,Wilford,boy
,Addison,boy
,Alford,boy
,Art,boy
,Benjamine,boy
,Enos,boy
,Erwin,boy
,Gabriel,boy
,Issac,boy
,Lucious,boy
,Malcolm,boy
,Merton,boy
,Micheal,boy
,Prince,boy
,Simeon,boy
,Anna,boy
,Carlton,boy
,Coleman,boy
,Douglas,boy
,Finis,boy
,Hardy,boy
,Hosea,boy
,Jules,boy
,Rolla,boy
,Tobe,boy
,Wash,boy
,Almon,boy
,Aubrey,boy
,Bertram,boy
,Casper,boy
,Ellsworth,boy
,Ephraim,boy
,Fay,boy
,Hamilton,boy
,Harris,boy
,Henery,boy
,Lou,boy
,Mat,boy
,Rollin,boy
,Sol,boy
,Steven,boy
,Verne,boy
,West,boy
,Wm,boy
,Adelbert,boy
,Alma,boy
,Aron,boy
,Axel,boy
,Bennett,boy
,Brown,boy
,Buck,boy
,Colonel,boy
,Elton,boy
,Elza,boy
,Gerald,boy
,Ivy,boy
,Johnie,boy
,Judge,boy
,Lenard,boy
,Minor,boy
,Morton,boy
,Murray,boy
,Nat,boy
,Newell,boy
,Norris,boy
,Pedro,boy
,Rollie,boy
,Sandy,boy
,Wilber,boy
,Wilburn,boy
,Wyatt,boy
,Davis,boy
,Dell,boy
,Doc,boy
,Fate,boy
,Frederic,boy
,Harlan,boy
,Harve,boy
,Henderson,boy
,Johnny,boy
,Logan,boy
,Mason,boy
,Merle,boy
,Merritt,boy
,Noel,boy
,Valentine,boy
,Wellington,boy
,Abel,boy
,Adrian,boy
,Alphonse,boy
,Carter,boy
,Cary,boy
,Cleveland,boy
,Crawford,boy
,Curt,boy
,Duncan,boy
,Early,boy
,Ernst,boy
,Frances,boy
,Gene,boy
,Hal,boy
,Hamp,boy
,Hezekiah,boy
,Lawson,boy
,Luis,boy
,Mathias,boy
,Olin,boy
,Parker,boy
,Pleasant,boy
,Reginald,boy
,Rich,boy
,Seymour,boy
,Solon,boy
,Stuart,boy
,Thaddeus,boy
,Tim,boy
,Winfred,boy
,Alton,boy
,Asbury,boy
,Bart,boy
,Benton,boy
,Beverly,boy
,Birt,boy
,Burl,boy
,Chin,boy
,Elihu,boy
,Erastus,boy
,Ford,boy
,Hampton,boy
,Houston,boy
,Johnson,boy
,Len,boy
,Lonzo,boy
,Loyd,boy
,Lucas,boy
,Lucien,boy
,Miller,boy
,Mortimer,boy
,Omar,boy
,Orval,boy
,Pierre,boy
,Raleigh,boy
,Ransom,boy
,Rush,boy
,Shelby,boy
,Tommie,boy
,Wilmer,boy
,Alonza,boy
,Artie,boy
,Bee,boy
,Benjaman,boy
,Bradley,boy
,Cal,boy
,Cloyd,boy
,Danial,boy
,Dexter,boy
,Emmitt,boy
,Finley,boy
,Guss,boy
,June,boy
,Lacy,boy
,Larkin,boy
,Meyer,boy
,Mont,boy
,Newt,boy
,Paris,boy
,Pleas,boy
,Rupert,boy
,Russel,boy
,Santiago,boy
,Sid,boy
,Soloman,boy
,Thornton,boy
,Walton,boy
,Warner,boy
,Watson,boy
,Willam,boy
,Wylie,boy
,Zeb,boy
,Allison,boy
,Alpha,boy
,Angus,boy
,Anson,boy
,Asberry,boy
,Basil,boy
,Bertie,boy
,Berton,boy
,Bryant,boy
,Buford,boy
,Byrd,boy
,Cassius,boy
,Clair,boy
,Cornelious,boy
,Dana,boy
,Deforest,boy
,Denis,boy
,Dillard,boy
,Dolph,boy
,Dorsey,boy
,Edith,boy
,Eldridge,boy
,Elmo,boy
,Emma,boy
,Eric,boy
,Freddie,boy
,Geo,boy
,Godfrey,boy
,Harper,boy
,Haywood,boy
,Jean,boy
,Jule,boy
,Lambert,boy
,Leland,boy
,Lew,boy
,Margaret,boy
